ElementID,Name,Abstract Data Type,Data Type Semantics
396,samplingFlowInterval,unsigned64,
397,samplingFlowSpacing,unsigned64,
398,flowSamplingTimeInterval,unsigned64,
399,flowSamplingTimeSpacing,unsigned64,
400,hashFlowDomain,unsigned16,identifier
401,transportOctetDeltaCount,unsigned64,deltaCounter
402,transportPacketDeltaCount,unsigned64,deltaCounter
403,originalExporterIPv4Address,ipv4Address,
404,originalExporterIPv6Address,ipv6Address,
405,originalObservationDomainId,unsigned32,identifier
406,intermediateProcessId,unsigned32,identifier
407,ignoredDataRecordTotalCount,unsigned64,totalCounter
408,dataLinkFrameType,unsigned16,flags
409,sectionOffset,unsigned16,quantity
410,sectionExportedOctets,unsigned16,quantity
412,dot1qServiceInstanceId,unsigned32,identifier
413,dot1qServiceInstancePriority,unsigned8,identifier
414,dot1qCustomerSourceMacAddress,macAddress,default
415,dot1qCustomerDestinationMacAddress,macAddress,default
417,postLayer2OctetDeltaCount,unsigned64,deltaCounter
418,postMCastLayer2OctetDeltaCount,unsigned64,deltaCounter
420,postLayer2OctetTotalCount,unsigned64,totalCounter
421,postMCastLayer2OctetTotalCount,unsigned64,totalCounter
422,minimumLayer2TotalLength,unsigned64,
423,maximumLayer2TotalLength,unsigned64,
424,droppedLayer2OctetDeltaCount,unsigned64,deltaCounter
425,droppedLayer2OctetTotalCount,unsigned64,totalCounter
426,ignoredLayer2OctetTotalCount,unsigned64,totalCounter
427,notSentLayer2OctetTotalCount,unsigned64,totalCounter
428,layer2OctetDeltaSumOfSquares,unsigned64,deltaCounter
429,layer2OctetTotalSumOfSquares,unsigned64,totalCounter
430,layer2FrameDeltaCount,unsigned64,deltaCounter
431,layer2FrameTotalCount,unsigned64,totalCounter
432,pseudoWireDestinationIPv4Address,ipv4Address,default
433,ignoredLayer2FrameTotalCount,unsigned64,totalCounter
434,mibObjectValueInteger,signed32,quantity
435,mibObjectValueOctetString,octetArray,default
436,mibObjectValueOID,octetArray,default
